id,aspect,satisfaction
62a33b3db4da29969c62df3d,rating salary,9
62a33b3db4da29969c62df3d,rating worklife balance,9
62a33b3db4da29969c62df3d,rating coworkers,7
62a33b3db4da29969c62df3d,rating management,5
62a33b3db4da29969c62df3d,rating upward mobility,5
62a33b3db4da29969c62df3d,rating learning,7
62a33ba1bae91e4b8b82e35c,rating salary,1
62a33ba1bae91e4b8b82e35c,rating worklife balance,2
62a33ba1bae91e4b8b82e35c,rating coworkers,5
62a33ba1bae91e4b8b82e35c,rating management,2
62a33ba1bae91e4b8b82e35c,rating upward mobility,1
62a33ba1bae91e4b8b82e35c,rating learning,3
62a33c2cbc6861bf3176bec1,rating salary,0
62a33c2cbc6861bf3176bec1,rating worklife balance,8
62a33c2cbc6861bf3176bec1,rating coworkers,7
62a33c2cbc6861bf3176bec1,rating management,5
62a33c2cbc6861bf3176bec1,rating upward mobility,7
62a33c2cbc6861bf3176bec1,rating learning,7
62a33c8624a26260273822f9,rating salary,10
62a33c8624a26260273822f9,rating worklife balance,6
62a33c8624a26260273822f9,rating coworkers,7
62a33c8624a26260273822f9,rating management,10
62a33c8624a26260273822f9,rating upward mobility,7
62a33c8624a26260273822f9,rating learning,10
62a33c91f3072dd892621e03,rating salary,1
62a33c91f3072dd892621e03,rating worklife balance,4
62a33c91f3072dd892621e03,rating coworkers,4
62a33c91f3072dd892621e03,rating management,4
62a33c91f3072dd892621e03,rating upward mobility,0
62a33c91f3072dd892621e03,rating learning,1
62a33cb6cf25554317300177,rating salary,2
62a33cb6cf25554317300177,rating worklife balance,3
62a33cb6cf25554317300177,rating coworkers,3
62a33cb6cf25554317300177,rating management,3
62a33cb6cf25554317300177,rating upward mobility,3
62a33cb6cf25554317300177,rating learning,2
62a33cb72e54c9003e531c65,rating salary,0
62a33cb72e54c9003e531c65,rating worklife balance,6
62a33cb72e54c9003e531c65,rating coworkers,6
62a33cb72e54c9003e531c65,rating management,6
62a33cb72e54c9003e531c65,rating upward mobility,6
62a33cb72e54c9003e531c65,rating learning,5
62a33cd30f8c8599d5af0f8f,rating salary,10
62a33cd30f8c8599d5af0f8f,rating worklife balance,5
62a33cd30f8c8599d5af0f8f,rating coworkers,5
62a33cd30f8c8599d5af0f8f,rating management,5
62a33cd30f8c8599d5af0f8f,rating upward mobility,5
62a33cd30f8c8599d5af0f8f,rating learning,9
62a33cd3cf255543173001d9,rating salary,4
62a33cd3cf255543173001d9,rating worklife balance,4
62a33cd3cf255543173001d9,rating coworkers,4
62a33cd3cf255543173001d9,rating management,4
62a33cd3cf255543173001d9,rating upward mobility,5
62a33cd3cf255543173001d9,rating learning,5
62a33cd8bc6861bf3176c05f,rating salary,2
62a33cd8bc6861bf3176c05f,rating worklife balance,0
62a33cd8bc6861bf3176c05f,rating coworkers,3
62a33cd8bc6861bf3176c05f,rating management,3
62a33cd8bc6861bf3176c05f,rating upward mobility,0
62a33cd8bc6861bf3176c05f,rating learning,4
62a33ce918134ddc75ce8c30,rating salary,10
62a33ce918134ddc75ce8c30,rating worklife balance,10
62a33ce918134ddc75ce8c30,rating coworkers,8
62a33ce918134ddc75ce8c30,rating management,8
62a33ce918134ddc75ce8c30,rating upward mobility,8
62a33ce918134ddc75ce8c30,rating learning,10
62a33cf30a77c1a77f65baa2,rating salary,3
62a33cf30a77c1a77f65baa2,rating worklife balance,8
62a33cf30a77c1a77f65baa2,rating coworkers,10
62a33cf30a77c1a77f65baa2,rating management,10
62a33cf30a77c1a77f65baa2,rating upward mobility,7
62a33cf30a77c1a77f65baa2,rating learning,8
62a33d15f408bae018ed370d,rating salary,1
62a33d15f408bae018ed370d,rating worklife balance,10
62a33d15f408bae018ed370d,rating coworkers,9
62a33d15f408bae018ed370d,rating management,9
62a33d15f408bae018ed370d,rating upward mobility,5
62a33d15f408bae018ed370d,rating learning,10
62a33d1ebae91e4b8b82e707,rating salary,3
62a33d1ebae91e4b8b82e707,rating worklife balance,10
62a33d1ebae91e4b8b82e707,rating coworkers,10
62a33d1ebae91e4b8b82e707,rating management,6
62a33d1ebae91e4b8b82e707,rating upward mobility,7
62a33d1ebae91e4b8b82e707,rating learning,8
62a33d4624a26260273824c4,rating salary,4
62a33d4624a26260273824c4,rating worklife balance,5
62a33d4624a26260273824c4,rating coworkers,5
62a33d4624a26260273824c4,rating management,5
62a33d4624a26260273824c4,rating upward mobility,4
62a33d4624a26260273824c4,rating learning,5
62a33d5c0f8c8599d5af107c,rating salary,4
62a33d5c0f8c8599d5af107c,rating worklife balance,10
62a33d5c0f8c8599d5af107c,rating coworkers,7
62a33d5c0f8c8599d5af107c,rating management,7
62a33d5c0f8c8599d5af107c,rating upward mobility,7
62a33d5c0f8c8599d5af107c,rating learning,5
62a33d850f8c8599d5af10cb,rating salary,1
62a33d850f8c8599d5af10cb,rating worklife balance,2
62a33d850f8c8599d5af10cb,rating coworkers,4
62a33d850f8c8599d5af10cb,rating management,2
62a33d850f8c8599d5af10cb,rating upward mobility,2
62a33d850f8c8599d5af10cb,rating learning,2
62a33d9bf8f7561645852496,rating salary,1
62a33d9bf8f7561645852496,rating worklife balance,3
62a33d9bf8f7561645852496,rating coworkers,2
62a33d9bf8f7561645852496,rating management,2
62a33d9bf8f7561645852496,rating upward mobility,4
62a33d9bf8f7561645852496,rating learning,1
62a33dbdd8c00e9f5419cd65,rating salary,7
62a33dbdd8c00e9f5419cd65,rating worklife balance,8
62a33dbdd8c00e9f5419cd65,rating coworkers,8
62a33dbdd8c00e9f5419cd65,rating management,6
62a33dbdd8c00e9f5419cd65,rating upward mobility,8
62a33dbdd8c00e9f5419cd65,rating learning,3
62a33de124a26260273826b2,rating salary,1
62a33de124a26260273826b2,rating worklife balance,1
62a33de124a26260273826b2,rating coworkers,1
62a33de124a26260273826b2,rating management,1
62a33de124a26260273826b2,rating upward mobility,2
62a33de124a26260273826b2,rating learning,0
62a33dedd8c00e9f5419ce2b,rating salary,5
62a33dedd8c00e9f5419ce2b,rating worklife balance,5
62a33dedd8c00e9f5419ce2b,rating coworkers,5
62a33dedd8c00e9f5419ce2b,rating management,5
62a33dedd8c00e9f5419ce2b,rating upward mobility,5
62a33dedd8c00e9f5419ce2b,rating learning,5
62a33dfbd8c00e9f5419ceda,rating salary,10
62a33dfbd8c00e9f5419ceda,rating worklife balance,5
62a33dfbd8c00e9f5419ceda,rating coworkers,10
62a33dfbd8c00e9f5419ceda,rating management,6
62a33dfbd8c00e9f5419ceda,rating upward mobility,10
62a33dfbd8c00e9f5419ceda,rating learning,10
62a33e38f3072dd8926221d3,rating salary,5
62a33e38f3072dd8926221d3,rating worklife balance,6
62a33e38f3072dd8926221d3,rating coworkers,8
62a33e38f3072dd8926221d3,rating management,8
62a33e38f3072dd8926221d3,rating upward mobility,7
62a33e38f3072dd8926221d3,rating learning,1
62a33e54d8c00e9f5419cfe9,rating salary,4
62a33e54d8c00e9f5419cfe9,rating worklife balance,4
62a33e54d8c00e9f5419cfe9,rating coworkers,4
62a33e54d8c00e9f5419cfe9,rating management,4
62a33e54d8c00e9f5419cfe9,rating upward mobility,4
62a33e54d8c00e9f5419cfe9,rating learning,4
62a33e62575fa3a5ae88aabf,rating salary,7
62a33e62575fa3a5ae88aabf,rating worklife balance,8
62a33e62575fa3a5ae88aabf,rating coworkers,8
62a33e62575fa3a5ae88aabf,rating management,8
62a33e62575fa3a5ae88aabf,rating upward mobility,3
62a33e62575fa3a5ae88aabf,rating learning,8
62a33e63cec54911e9ca4f99,rating salary,4
62a33e63cec54911e9ca4f99,rating worklife balance,6
62a33e63cec54911e9ca4f99,rating coworkers,6
62a33e63cec54911e9ca4f99,rating management,6
62a33e63cec54911e9ca4f99,rating upward mobility,7
62a33e63cec54911e9ca4f99,rating learning,7
62a33e72bae91e4b8b82ea1a,rating salary,7
62a33e72bae91e4b8b82ea1a,rating worklife balance,10
62a33e72bae91e4b8b82ea1a,rating coworkers,5
62a33e72bae91e4b8b82ea1a,rating management,5
62a33e72bae91e4b8b82ea1a,rating upward mobility,5
62a33e72bae91e4b8b82ea1a,rating learning,2
62a33e890f8c8599d5af13b9,rating salary,1
62a33e890f8c8599d5af13b9,rating worklife balance,6
62a33e890f8c8599d5af13b9,rating coworkers,9
62a33e890f8c8599d5af13b9,rating management,1
62a33e890f8c8599d5af13b9,rating upward mobility,0
62a33e890f8c8599d5af13b9,rating learning,2
62a33e8bf8d5efcc22f7c79a,rating salary,6
62a33e8bf8d5efcc22f7c79a,rating worklife balance,7
62a33e8bf8d5efcc22f7c79a,rating coworkers,7
62a33e8bf8d5efcc22f7c79a,rating management,7
62a33e8bf8d5efcc22f7c79a,rating upward mobility,7
62a33e8bf8d5efcc22f7c79a,rating learning,4
62a33e90cec54911e9ca5031,rating salary,0
62a33e90cec54911e9ca5031,rating worklife balance,0
62a33e90cec54911e9ca5031,rating coworkers,5
62a33e90cec54911e9ca5031,rating management,0
62a33e90cec54911e9ca5031,rating upward mobility,0
62a33e90cec54911e9ca5031,rating learning,0
62a33e9df8f756164585277b,rating salary,10
62a33e9df8f756164585277b,rating worklife balance,7
62a33e9df8f756164585277b,rating coworkers,10
62a33e9df8f756164585277b,rating management,10
62a33e9df8f756164585277b,rating upward mobility,5
62a33e9df8f756164585277b,rating learning,3
62a33eb6bc6861bf3176c5a3,rating salary,5
62a33eb6bc6861bf3176c5a3,rating worklife balance,6
62a33eb6bc6861bf3176c5a3,rating coworkers,7
62a33eb6bc6861bf3176c5a3,rating management,5
62a33eb6bc6861bf3176c5a3,rating upward mobility,4
62a33eb6bc6861bf3176c5a3,rating learning,4
62a33ee0bae91e4b8b82eaec,rating salary,8
62a33ee0bae91e4b8b82eaec,rating worklife balance,7
62a33ee0bae91e4b8b82eaec,rating coworkers,8
62a33ee0bae91e4b8b82eaec,rating management,7
62a33ee0bae91e4b8b82eaec,rating upward mobility,7
62a33ee0bae91e4b8b82eaec,rating learning,7
62a33ee80f8c8599d5af14b7,rating salary,8
62a33ee80f8c8599d5af14b7,rating worklife balance,10
62a33ee80f8c8599d5af14b7,rating coworkers,10
62a33ee80f8c8599d5af14b7,rating management,9
62a33ee80f8c8599d5af14b7,rating upward mobility,9
62a33ee80f8c8599d5af14b7,rating learning,9
62a33efe0a77c1a77f65bf1e,rating salary,2
62a33efe0a77c1a77f65bf1e,rating worklife balance,3
62a33efe0a77c1a77f65bf1e,rating coworkers,5
62a33efe0a77c1a77f65bf1e,rating management,5
62a33efe0a77c1a77f65bf1e,rating upward mobility,5
62a33efe0a77c1a77f65bf1e,rating learning,5
62a33f0ef408bae018ed3aeb,rating salary,5
62a33f0ef408bae018ed3aeb,rating worklife balance,10
62a33f0ef408bae018ed3aeb,rating coworkers,8
62a33f0ef408bae018ed3aeb,rating management,8
62a33f0ef408bae018ed3aeb,rating upward mobility,8
62a33f0ef408bae018ed3aeb,rating learning,7
62a33f17f8f7561645852867,rating salary,2
62a33f17f8f7561645852867,rating worklife balance,9
62a33f17f8f7561645852867,rating coworkers,7
62a33f17f8f7561645852867,rating management,7
62a33f17f8f7561645852867,rating upward mobility,5
62a33f17f8f7561645852867,rating learning,6
62a33f52bc6861bf3176c72c,rating salary,3
62a33f52bc6861bf3176c72c,rating worklife balance,5
62a33f52bc6861bf3176c72c,rating coworkers,6
62a33f52bc6861bf3176c72c,rating management,4
62a33f52bc6861bf3176c72c,rating upward mobility,4
62a33f52bc6861bf3176c72c,rating learning,5
62a33f56cf255543173005e9,rating salary,3
62a33f56cf255543173005e9,rating worklife balance,1
62a33f56cf255543173005e9,rating coworkers,3
62a33f56cf255543173005e9,rating management,2
62a33f56cf255543173005e9,rating upward mobility,3
62a33f56cf255543173005e9,rating learning,1
62a33f5a5d257a28a30d7bb5,rating salary,2
62a33f5a5d257a28a30d7bb5,rating worklife balance,0
62a33f5a5d257a28a30d7bb5,rating coworkers,2
62a33f5a5d257a28a30d7bb5,rating management,2
62a33f5a5d257a28a30d7bb5,rating upward mobility,0
62a33f5a5d257a28a30d7bb5,rating learning,0
62a33fa5cec54911e9ca51f1,rating salary,5
62a33fa5cec54911e9ca51f1,rating worklife balance,6
62a33fa5cec54911e9ca51f1,rating coworkers,6
62a33fa5cec54911e9ca51f1,rating management,5
62a33fa5cec54911e9ca51f1,rating upward mobility,4
62a33fa5cec54911e9ca51f1,rating learning,6
62a33fcb575fa3a5ae88ad59,rating salary,0
62a33fcb575fa3a5ae88ad59,rating worklife balance,0
62a33fcb575fa3a5ae88ad59,rating coworkers,0
62a33fcb575fa3a5ae88ad59,rating management,0
62a33fcb575fa3a5ae88ad59,rating upward mobility,0
62a33fcb575fa3a5ae88ad59,rating learning,0
62a33fcf18134ddc75ce91c3,rating salary,3
62a33fcf18134ddc75ce91c3,rating worklife balance,1
62a33fcf18134ddc75ce91c3,rating coworkers,3
62a33fcf18134ddc75ce91c3,rating management,4
62a33fcf18134ddc75ce91c3,rating upward mobility,0
62a33fcf18134ddc75ce91c3,rating learning,3
62a34006d8c00e9f5419d341,rating salary,0
62a34006d8c00e9f5419d341,rating worklife balance,0
62a34006d8c00e9f5419d341,rating coworkers,0
62a34006d8c00e9f5419d341,rating management,0
62a34006d8c00e9f5419d341,rating upward mobility,0
62a34006d8c00e9f5419d341,rating learning,0
62a34020575fa3a5ae88ade0,rating salary,5
62a34020575fa3a5ae88ade0,rating worklife balance,5
62a34020575fa3a5ae88ade0,rating coworkers,3
62a34020575fa3a5ae88ade0,rating management,5
62a34020575fa3a5ae88ade0,rating upward mobility,2
62a34020575fa3a5ae88ade0,rating learning,6
62a34038b4da29969c62eafe,rating salary,8
62a34038b4da29969c62eafe,rating worklife balance,6
62a34038b4da29969c62eafe,rating coworkers,2
62a34038b4da29969c62eafe,rating management,3
62a34038b4da29969c62eafe,rating upward mobility,6
62a34038b4da29969c62eafe,rating learning,7
62a3406b575fa3a5ae88ae78,rating salary,5
62a3406b575fa3a5ae88ae78,rating worklife balance,7
62a3406b575fa3a5ae88ae78,rating coworkers,1
62a3406b575fa3a5ae88ae78,rating management,1
62a3406b575fa3a5ae88ae78,rating upward mobility,0
62a3406b575fa3a5ae88ae78,rating learning,8
62a340cab4da29969c62ec01,rating salary,7
62a340cab4da29969c62ec01,rating worklife balance,8
62a340cab4da29969c62ec01,rating coworkers,10
62a340cab4da29969c62ec01,rating management,8
62a340cab4da29969c62ec01,rating upward mobility,9
62a340cab4da29969c62ec01,rating learning,9
62a340d62e54c9003e5324b4,rating salary,5
62a340d62e54c9003e5324b4,rating worklife balance,6
62a340d62e54c9003e5324b4,rating coworkers,6
62a340d62e54c9003e5324b4,rating management,6
62a340d62e54c9003e5324b4,rating upward mobility,6
62a340d62e54c9003e5324b4,rating learning,6
62a340e10a77c1a77f65c2e7,rating salary,10
62a340e10a77c1a77f65c2e7,rating worklife balance,8
62a340e10a77c1a77f65c2e7,rating coworkers,9
62a340e10a77c1a77f65c2e7,rating management,8
62a340e10a77c1a77f65c2e7,rating upward mobility,8
62a340e10a77c1a77f65c2e7,rating learning,10
62a340f5bc6861bf3176caa4,rating salary,8
62a340f5bc6861bf3176caa4,rating worklife balance,8
62a340f5bc6861bf3176caa4,rating coworkers,8
62a340f5bc6861bf3176caa4,rating management,8
62a340f5bc6861bf3176caa4,rating upward mobility,5
62a340f5bc6861bf3176caa4,rating learning,10
62a34117cec54911e9ca54e7,rating salary,1
62a34117cec54911e9ca54e7,rating worklife balance,3
62a34117cec54911e9ca54e7,rating coworkers,6
62a34117cec54911e9ca54e7,rating management,6
62a34117cec54911e9ca54e7,rating upward mobility,6
62a34117cec54911e9ca54e7,rating learning,9
62a3413a5d257a28a30d8074,rating salary,2
62a3413a5d257a28a30d8074,rating worklife balance,1
62a3413a5d257a28a30d8074,rating coworkers,1
62a3413a5d257a28a30d8074,rating management,1
62a3413a5d257a28a30d8074,rating upward mobility,3
62a3413a5d257a28a30d8074,rating learning,7
62a341a1f3072dd8926229a5,rating salary,NA
62a341a1f3072dd8926229a5,rating worklife balance,NA
62a341a1f3072dd8926229a5,rating coworkers,NA
62a341a1f3072dd8926229a5,rating management,NA
62a341a1f3072dd8926229a5,rating upward mobility,NA
62a341a1f3072dd8926229a5,rating learning,7
62a341b0f8f7561645852d1d,rating salary,6
62a341b0f8f7561645852d1d,rating worklife balance,6
62a341b0f8f7561645852d1d,rating coworkers,6
62a341b0f8f7561645852d1d,rating management,6
62a341b0f8f7561645852d1d,rating upward mobility,5
62a341b0f8f7561645852d1d,rating learning,6
62a341e8f8d5efcc22f7d002,rating salary,3
62a341e8f8d5efcc22f7d002,rating worklife balance,6
62a341e8f8d5efcc22f7d002,rating coworkers,7
62a341e8f8d5efcc22f7d002,rating management,7
62a341e8f8d5efcc22f7d002,rating upward mobility,0
62a341e8f8d5efcc22f7d002,rating learning,3
62a34210cf25554317300c02,rating salary,4
62a34210cf25554317300c02,rating worklife balance,9
62a34210cf25554317300c02,rating coworkers,10
62a34210cf25554317300c02,rating management,9
62a34210cf25554317300c02,rating upward mobility,9
62a34210cf25554317300c02,rating learning,10
62a3424eb4da29969c62eedd,rating salary,6
62a3424eb4da29969c62eedd,rating worklife balance,8
62a3424eb4da29969c62eedd,rating coworkers,8
62a3424eb4da29969c62eedd,rating management,7
62a3424eb4da29969c62eedd,rating upward mobility,9
62a3424eb4da29969c62eedd,rating learning,7
62a34256bae91e4b8b82f16d,rating salary,3
62a34256bae91e4b8b82f16d,rating worklife balance,5
62a34256bae91e4b8b82f16d,rating coworkers,4
62a34256bae91e4b8b82f16d,rating management,3
62a34256bae91e4b8b82f16d,rating upward mobility,3
62a34256bae91e4b8b82f16d,rating learning,3
62a3426cf408bae018ed409b,rating salary,1
62a3426cf408bae018ed409b,rating worklife balance,4
62a3426cf408bae018ed409b,rating coworkers,5
62a3426cf408bae018ed409b,rating management,5
62a3426cf408bae018ed409b,rating upward mobility,1
62a3426cf408bae018ed409b,rating learning,1
62a34272f8d5efcc22f7d15f,rating salary,4
62a34272f8d5efcc22f7d15f,rating worklife balance,6
62a34272f8d5efcc22f7d15f,rating coworkers,4
62a34272f8d5efcc22f7d15f,rating management,5
62a34272f8d5efcc22f7d15f,rating upward mobility,4
62a34272f8d5efcc22f7d15f,rating learning,4
62a34340bc6861bf3176d05b,rating salary,6
62a34340bc6861bf3176d05b,rating worklife balance,7
62a34340bc6861bf3176d05b,rating coworkers,4
62a34340bc6861bf3176d05b,rating management,3
62a34340bc6861bf3176d05b,rating upward mobility,9
62a34340bc6861bf3176d05b,rating learning,8
62a34383b4da29969c62f1be,rating salary,7
62a34383b4da29969c62f1be,rating worklife balance,5
62a34383b4da29969c62f1be,rating coworkers,8
62a34383b4da29969c62f1be,rating management,0
62a34383b4da29969c62f1be,rating upward mobility,0
62a34383b4da29969c62f1be,rating learning,0
62a34389cec54911e9ca5a22,rating salary,2
62a34389cec54911e9ca5a22,rating worklife balance,3
62a34389cec54911e9ca5a22,rating coworkers,2
62a34389cec54911e9ca5a22,rating management,5
62a34389cec54911e9ca5a22,rating upward mobility,5
62a34389cec54911e9ca5a22,rating learning,7
62a343a22e54c9003e532a2a,rating salary,4
62a343a22e54c9003e532a2a,rating worklife balance,4
62a343a22e54c9003e532a2a,rating coworkers,4
62a343a22e54c9003e532a2a,rating management,4
62a343a22e54c9003e532a2a,rating upward mobility,5
62a343a22e54c9003e532a2a,rating learning,6
62a343d9f3072dd892622fe4,rating salary,5
62a343d9f3072dd892622fe4,rating worklife balance,6
62a343d9f3072dd892622fe4,rating coworkers,7
62a343d9f3072dd892622fe4,rating management,7
62a343d9f3072dd892622fe4,rating upward mobility,7
62a343d9f3072dd892622fe4,rating learning,6
62a34400d8c00e9f5419dc2b,rating salary,6
62a34400d8c00e9f5419dc2b,rating worklife balance,6
62a34400d8c00e9f5419dc2b,rating coworkers,6
62a34400d8c00e9f5419dc2b,rating management,6
62a34400d8c00e9f5419dc2b,rating upward mobility,3
62a34400d8c00e9f5419dc2b,rating learning,5
62a34425f8d5efcc22f7d525,rating salary,3
62a34425f8d5efcc22f7d525,rating worklife balance,9
62a34425f8d5efcc22f7d525,rating coworkers,10
62a34425f8d5efcc22f7d525,rating management,8
62a34425f8d5efcc22f7d525,rating upward mobility,9
62a34425f8d5efcc22f7d525,rating learning,9
62a34449575fa3a5ae88b637,rating salary,4
62a34449575fa3a5ae88b637,rating worklife balance,3
62a34449575fa3a5ae88b637,rating coworkers,3
62a34449575fa3a5ae88b637,rating management,5
62a34449575fa3a5ae88b637,rating upward mobility,5
62a34449575fa3a5ae88b637,rating learning,5
62a3445dcf255543173011e1,rating salary,5
62a3445dcf255543173011e1,rating worklife balance,5
62a3445dcf255543173011e1,rating coworkers,7
62a3445dcf255543173011e1,rating management,5
62a3445dcf255543173011e1,rating upward mobility,7
62a3445dcf255543173011e1,rating learning,7
62a3447a575fa3a5ae88b6c0,rating salary,2
62a3447a575fa3a5ae88b6c0,rating worklife balance,9
62a3447a575fa3a5ae88b6c0,rating coworkers,9
62a3447a575fa3a5ae88b6c0,rating management,8
62a3447a575fa3a5ae88b6c0,rating upward mobility,6
62a3447a575fa3a5ae88b6c0,rating learning,2
62a3449f7dc029e2d66bf5d1,rating salary,2
62a3449f7dc029e2d66bf5d1,rating worklife balance,8
62a3449f7dc029e2d66bf5d1,rating coworkers,6
62a3449f7dc029e2d66bf5d1,rating management,6
62a3449f7dc029e2d66bf5d1,rating upward mobility,5
62a3449f7dc029e2d66bf5d1,rating learning,5
62a344c5f408bae018ed4806,rating salary,10
62a344c5f408bae018ed4806,rating worklife balance,6
62a344c5f408bae018ed4806,rating coworkers,9
62a344c5f408bae018ed4806,rating management,5
62a344c5f408bae018ed4806,rating upward mobility,8
62a344c5f408bae018ed4806,rating learning,7
62a344c6f8d5efcc22f7d6e1,rating salary,5
62a344c6f8d5efcc22f7d6e1,rating worklife balance,5
62a344c6f8d5efcc22f7d6e1,rating coworkers,5
62a344c6f8d5efcc22f7d6e1,rating management,5
62a344c6f8d5efcc22f7d6e1,rating upward mobility,5
62a344c6f8d5efcc22f7d6e1,rating learning,1
62a344e1f3072dd892623328,rating salary,2
62a344e1f3072dd892623328,rating worklife balance,3
62a344e1f3072dd892623328,rating coworkers,3
62a344e1f3072dd892623328,rating management,3
62a344e1f3072dd892623328,rating upward mobility,3
62a344e1f3072dd892623328,rating learning,6
62a3450424a262602738357f,rating salary,9
62a3450424a262602738357f,rating worklife balance,10
62a3450424a262602738357f,rating coworkers,10
62a3450424a262602738357f,rating management,10
62a3450424a262602738357f,rating upward mobility,10
62a3450424a262602738357f,rating learning,10
62a3452818134ddc75ce9e1b,rating salary,3
62a3452818134ddc75ce9e1b,rating worklife balance,5
62a3452818134ddc75ce9e1b,rating coworkers,3
62a3452818134ddc75ce9e1b,rating management,3
62a3452818134ddc75ce9e1b,rating upward mobility,5
62a3452818134ddc75ce9e1b,rating learning,5
62a345490a77c1a77f65cc5b,rating salary,3
62a345490a77c1a77f65cc5b,rating worklife balance,6
