id,role,career_switch,industry,language,rating_breakin,important_factors,sex,age,country,education,ethnicity,avgsalary
62a33b3db4da29969c62df3d,Data Analyst,Yes,Healthcare,Python,Very Difficult,Remote,Male,26,United States,NA,White Or Caucasian,115500
62a33ba1bae91e4b8b82e35c,Data Analyst,No,Finance,R,Very Difficult,Remote,Male,36,Canada,NA,Asian Or Asian American,53000
62a33c2cbc6861bf3176bec1,Data Engineer,No,Energy,Python,Easy,Good Work/Life Balance,Male,23,Nigeria,NA,Black Or African American,20000
62a33c8624a26260273822f9,Data Analyst,Yes,Finance,R,Very Easy,Remote,Female,35,Canada,NA,White Or Caucasian,187500
62a33c91f3072dd892621e03,Data Analyst,Yes,Healthcare,R,Difficult,Better Salary,Male,44,United States,NA,Black Or African American,53000
62a33cb6cf25554317300177,Data Analyst,Yes,NA,Python,Difficult,Good Work/Life Balance,Male,33,Other,NA,Black Or African American,20000
62a33cb72e54c9003e531c65,Data Scientist,Yes,Finance,Python,Difficult,Better Salary,Male,24,Other,NA,Black Or African American,20000
62a33cd30f8c8599d5af0f8f,Data Engineer,Yes,Retail,SQL,Neither easy nor difficult,Remote,Male,35,United States,NA,Asian Or Asian American,137500
62a33cd3cf255543173001d9,Data Analyst,Yes,Healthcare,R,Neither easy nor difficult,Better Salary,Male,35,United States,NA,Asian Or Asian American,95500
62a33cd8bc6861bf3176c05f,Data Analyst,Yes,Telecommunication,Python,Very Difficult,Better Salary,Male,28,United States,NA,Hispanic Or Latino,53000
62a33ce918134ddc75ce8c30,Data Analyst,Yes,Logistics,Python,Neither easy nor difficult,Remote,Male,37,Canada,NA,White Or Caucasian,75500
62a33cf30a77c1a77f65baa2,Data Analyst,Yes,Other,Python,Neither easy nor difficult,Better Salary,Male,32,Other,NA,White Or Caucasian,20000
62a33d15f408bae018ed370d,Data Analyst,Yes,Tech,R,Neither easy nor difficult,Better Salary,Male,34,Other,NA,Other,20000
62a33d1ebae91e4b8b82e707,Data Scientist,Yes,Education,Python,Easy,Good Work/Life Balance,Male,30,United Kingdom,NA,White Or Caucasian,20000
62a33d4624a26260273824c4,Data Analyst,No,Construction,R,Neither easy nor difficult,Good Culture,Male,31,United States,NA,White Or Caucasian,53000
62a33d5c0f8c8599d5af107c,Data Analyst,Yes,Finance,Python,Difficult,Good Culture,Male,29,United States,NA,White Or Caucasian,53000
62a33d850f8c8599d5af10cb,Data Analyst,Yes,Tech,Python,Neither easy nor difficult,Better Salary,Male,22,Other,NA,Black Or African American,20000
62a33d9bf8f7561645852496,Student/Looking/None,Yes,Retail,Python,Difficult,Better Salary,Male,23,United States,NA,Black Or African American,20000
62a33dbdd8c00e9f5419cd65,Student/Looking/None,No,Tech,R,Very Difficult,Better Salary,Female,26,Canada,NA,Asian Or Asian American,53000
62a33de124a26260273826b2,Data Analyst,No,Other,Python,Very Difficult,Better Salary,Male,28,Nigeria,NA,Black Or African American,20000
62a33dedd8c00e9f5419ce2b,Data Analyst,Yes,Finance,Python,Easy,Remote,Male,29,Other,NA,Black Or African American,53000
62a33dfbd8c00e9f5419ceda,Data Analyst,Yes,Tech,SQL,Neither easy nor difficult,Remote,Female,31,United States,NA,White Or Caucasian,115500
62a33e38f3072dd8926221d3,Data Analyst,Yes,Healthcare,Python,Neither easy nor difficult,Remote,Male,28,Other,NA,White Or Caucasian,20000
62a33e54d8c00e9f5419cfe9,Data Analyst,No,Finance,Python,Neither easy nor difficult,Better Salary,Male,32,Other,NA,Hispanic Or Latino,20000
62a33e62575fa3a5ae88aabf,Data Analyst,No,Tech,Python,Easy,Better Salary,Male,24,Other,NA,Black Or African American,20000
62a33e63cec54911e9ca4f99,Data Analyst,No,Tech,Python,Easy,Good Work/Life Balance,Male,31,India,NA,Asian Or Asian American,20000
62a33e72bae91e4b8b82ea1a,Data Analyst,No,Other,SQL,Difficult,Other,Male,23,United States,NA,White Or Caucasian,75500
62a33e890f8c8599d5af13b9,Data Analyst,Yes,Energy,Python,Difficult,Remote,Female,33,United States,NA,Asian Or Asian American,115500
62a33e8bf8d5efcc22f7c79a,Data Analyst,No,Healthcare,Other,Very Easy,Better Salary,Male,43,United States,NA,White Or Caucasian,95500
62a33e90cec54911e9ca5031,Student/Looking/None,Yes,Energy,R,Very Difficult,Remote,Female,23,Nigeria,NA,African,20000
62a33e9df8f756164585277b,Student/Looking/None,Yes,Finance,Python,Very Difficult,Good Work/Life Balance,Male,31,United States,NA,Black Or African American,53000
62a33eb6bc6861bf3176c5a3,Data Analyst,Yes,Finance,Python,Neither easy nor difficult,Learning New Skills,Male,31,United Kingdom,NA,White Or Caucasian,75500
62a33ee0bae91e4b8b82eaec,Data Analyst,Yes,Other,Python,Difficult,Good Work/Life Balance,Male,25,India,NA,Asian Or Asian American,20000
62a33ee80f8c8599d5af14b7,Data Engineer,No,Tech,SQL,Easy,Better Salary,Male,43,United States,NA,White Or Caucasian,137500
62a33efe0a77c1a77f65bf1e,Data Analyst,No,Finance,Python,Difficult,Better Salary,Female,26,Canada,NA,Other,53000
62a33f0ef408bae018ed3aeb,Data Analyst,No,Automotive,Python,Neither easy nor difficult,Remote,Male,32,Other,NA,White Or Caucasian,53000
62a33f17f8f7561645852867,BI Developer,No,Tech,Python,Difficult,Better Salary,Male,31,Other,NA,White Or Caucasian,20000
62a33f52bc6861bf3176c72c,Data Analyst,Yes,Healthcare,SQL,Neither easy nor difficult,Better Salary,Male,29,United States,NA,White Or Caucasian,95500
62a33f56cf255543173005e9,Data Analyst,Yes,Automotive,Python,Neither easy nor difficult,Good Culture,Male,24,Other,NA,Hispanic Or Latino,20000
62a33f5a5d257a28a30d7bb5,Student/Looking/None,Yes,Construction,Python,Very Difficult,Remote,Male,34,United States,NA,White Or Caucasian,53000
62a33fa5cec54911e9ca51f1,Data Analyst,Yes,Other,DAX,Very Difficult,Better Salary,Male,42,Other,NA,Indian,53000
62a33fcb575fa3a5ae88ad59,Student/Looking/None,Yes,NA,Javascript,Difficult,Remote,Female,40,United States,NA,Asian Or Asian American,20000
62a33fcf18134ddc75ce91c3,Student/Looking/None,No,Telecommunication,Python,Easy,Good Work/Life Balance,Male,43,Other,NA,White Or Caucasian,53000
62a34006d8c00e9f5419d341,Student/Looking/None,Yes,Construction,Python,Very Difficult,Better Salary,Male,23,Other,NA,African,20000
62a34020575fa3a5ae88ade0,Student/Looking/None,Yes,Education,Python,Difficult,Better Salary,Male,23,Other,NA,Asian Or Asian American,20000
62a34038b4da29969c62eafe,Data Analyst,Yes,Manufacturing,Python,Neither easy nor difficult,Other,Male,28,United States,NA,White Or Caucasian,95500
62a3406b575fa3a5ae88ae78,Data Analyst,No,Finance,SQL,Neither easy nor difficult,Better Salary,Male,32,United States,NA,White Or Caucasian,75500
62a340cab4da29969c62ec01,Data Analyst,Yes,Manufacturing,R,Difficult,Remote,Female,41,United States,NA,White Or Caucasian,75500
62a340d62e54c9003e5324b4,Data Analyst,Yes,Finance,Python,Neither easy nor difficult,Remote,Male,33,United Kingdom,High School,White Or Caucasian,53000
62a340e10a77c1a77f65c2e7,BI Developer,Yes,Tech,Python,Easy,Good Work/Life Balance,Male,38,United States,NA,Hispanic Or Latino,187500
62a340f5bc6861bf3176caa4,Data Analyst,No,Tech,SQL,Easy,Better Salary,Female,22,India,NA,Indian,20000
62a34117cec54911e9ca54e7,Student/Looking/None,Yes,NA,R,Difficult,Remote,Male,36,Other,Bachelors,Black Or African American,20000
62a3413a5d257a28a30d8074,Data Engineer,No,Finance,Python,Easy,Remote,Female,28,United States,Masters,Asian Or Asian American,75500
62a341a1f3072dd8926229a5,Student/Looking/None,Yes,NA,SQL,Very Easy,Learning New Skills,Male,30,Other,NA,African,20000
62a341b0f8f7561645852d1d,Data Analyst,Yes,Tech,Python,Difficult,Other,Female,24,United States,Bachelors,Hispanic Or Latino,75500
62a341e8f8d5efcc22f7d002,Data Analyst,No,Logistics,C/C++,Very Difficult,Better Salary,Male,29,United States,Bachelors,White Or Caucasian,53000
62a34210cf25554317300c02,Data Analyst,No,Tech,Python,Easy,Better Salary,Male,29,Other,Associates,Hispanic Or Latino,20000
62a3424eb4da29969c62eedd,Data Analyst,Yes,Automotive,Python,Neither easy nor difficult,Good Work/Life Balance,Male,38,Germany,Masters,White Or Caucasian,53000
62a34256bae91e4b8b82f16d,Data Analyst,Yes,Finance,None,Difficult,Good Work/Life Balance,Male,31,Other,Masters,White Or Caucasian,20000
62a3426cf408bae018ed409b,Student/Looking/None,No,Tech,Python,Difficult,Better Salary,Male,25,United States,Masters,White Or Caucasian,20000
62a34272f8d5efcc22f7d15f,Data Analyst,No,Telecommunication,Python,Neither easy nor difficult,Better Salary,Male,24,United States,Masters,White Or Caucasian,75500
62a34340bc6861bf3176d05b,BI Analyst,Yes,Tech,Python,Difficult,Better Salary,Male,28,Other,Bachelors,White Or Caucasian,53000
62a34383b4da29969c62f1be,Student/Looking/None,No,Tech,Python,Neither easy nor difficult,Good Culture,Female,23,India,Bachelors,Asian Or Asian American,20000
62a34389cec54911e9ca5a22,Data Engineer,No,Tech,R,Neither easy nor difficult,Remote,Male,21,Other,Masters,Hispanic Or Latino,20000
62a343a22e54c9003e532a2a,Data Analyst,No,Energy,Python,Neither easy nor difficult,Remote,Male,29,Other,Bachelors,Other,20000
62a343d9f3072dd892622fe4,Data Analyst,Yes,Tech,Python,Difficult,Better Salary,Male,25,United States,Bachelors,Asian Or Asian American,53000
62a34400d8c00e9f5419dc2b,Data Analyst,No,Tech,Python,Difficult,Good Culture,Male,27,Germany,Masters,Black Or African American,53000
62a34425f8d5efcc22f7d525,Data Analyst,Yes,Tech,Python,Easy,Better Salary,Male,23,India,Bachelors,Asian Or Asian American,53000
62a34449575fa3a5ae88b637,Data Analyst,No,Other,R,Difficult,Better Salary,Male,32,United States,Masters,Asian Or Asian American,95500
62a3445dcf255543173011e1,Student/Looking/None,Yes,Healthcare,Python,Neither easy nor difficult,Remote,Male,22,India,Bachelors,Asian Or Asian American,115500
62a3447a575fa3a5ae88b6c0,Data Analyst,No,Tech,Python,Easy,Better Salary,Male,25,Other,Bachelors,Asian Or Asian American,20000
62a3449f7dc029e2d66bf5d1,Data Analyst,Yes,Telecommunication,Python,Neither easy nor difficult,Remote,Female,36,Germany,Masters,White Or Caucasian,20000
62a344c5f408bae018ed4806,Data Analyst,Yes,Tech,SQL,Easy,Good Work/Life Balance,Female,27,United States,Bachelors,White Or Caucasian,115500
62a344c6f8d5efcc22f7d6e1,Data Analyst,Yes,Tech,Python,Neither easy nor difficult,Other,Male,23,India,Bachelors,Asian Or Asian American,20000
62a344e1f3072dd892623328,Student/Looking/None,Yes,Tech,SQL,Very Difficult,Better Salary,Male,26,Other,Bachelors,Black Or African American,20000
62a3450424a262602738357f,Data Analyst,No,Healthcare,Python,Very Easy,Good Work/Life Balance,Female,33,United States,PhD,Hispanic Or Latino,95500
62a3452818134ddc75ce9e1b,Data Analyst,Yes,Automotive,Python,Easy,Better Salary,Male,27,Other,Masters,White Or Caucasian,115500
62a345490a77c1a77f65cc5b,Data Analyst,Yes,Education,R,Neither easy nor difficult,Better Salary,Male,42,United States,Associates,White Or Caucasian,53000
62a3455bbc6861bf3176d57a,Data Analyst,Yes,Tech,Python,Easy,Good Work/Life Balance,Male,29,Other,Masters,White Or Caucasian,20000
62a3457bf8d5efcc22f7da17,Data Analyst,No,Tech,Python,Easy,Better Salary,Female,27,United States,Masters,Asian Or Asian American,137500
62a345b2bae91e4b8b82fad6,Student/Looking/None,No,Healthcare,Python,Neither easy nor difficult,Remote,Female,39,United States,Bachelors,Hispanic Or Latino,53000
62a345c47dc029e2d66bf80a,Data Analyst,Yes,Telecommunication,Python,Difficult,Good Culture,Male,31,Other,Masters,White Or Caucasian,53000
62a345e25d257a28a30d8b43,Data Analyst,Yes,Marketing,Python,Easy,Good Work/Life Balance,Male,29,Other,Bachelors,Hispanic Or Latino,75500
62a34646f8d5efcc22f7dc5c,Data Analyst,Yes,Education,R,Easy,Remote,Male,31,United States,Masters,White Or Caucasian,75500
62a34687f408bae018ed4c52,Data Analyst,Yes,Finance,Python,Neither easy nor difficult,Good Culture,Male,30,Other,Masters,Hispanic Or Latino,20000
62a346a37dc029e2d66bfa6d,Data Engineer,Yes,Tech,Python,Difficult,Better Salary,Male,33,Other,Masters,Hispanic Or Latino,20000
62a346a95d257a28a30d8cb9,Data Analyst,No,Retail,Python,Neither easy nor difficult,Better Salary,Male,25,United States,Bachelors,White Or Caucasian,75500
62a346b4bc6861bf3176d7ce,Student/Looking/None,No,Tech,R,Neither easy nor difficult,Good Work/Life Balance,Male,23,India,Bachelors,Indian,20000
62a346cef8f756164585385b,Data Analyst,Yes,Marketing,None,Very Difficult,Better Salary,Male,33,United States,Bachelors,Asian Or Asian American,53000
62a346d724a2626027383abd,Data Analyst,Yes,Logistics,Python,Neither easy nor difficult,Good Work/Life Balance,Male,35,Other,Bachelors,Hispanic Or Latino,75500
62a346d90a77c1a77f65d08d,Data Analyst,No,Other,Python,Neither easy nor difficult,Remote,Female,42,Other,Masters,White Or Caucasian,53000
62a34726f8d5efcc22f7dec7,Data Analyst,No,Tech,Python,Neither easy nor difficult,Better Salary,Male,25,United States,Bachelors,White Or Caucasian,75500
62a3476c5d257a28a30d8e6d,Data Analyst,No,Automotive,Python,Neither easy nor difficult,Other,Male,23,United States,Bachelors,White Or Caucasian,95500
62a347b4f8f7561645853a98,Other,No,Healthcare,Javascript,Easy,Better Salary,Female,51,United States,Bachelors,Black Or African American,53000
62a347f6b4da29969c62fb79,Data Analyst,No,Telecommunication,Other,Very Difficult,Better Salary,Male,30,United Kingdom,Bachelors,Black Or African American,20000
62a3483018134ddc75cea4e6,Data Analyst,Yes,Finance,Python,Very Difficult,Better Salary,Male,23,India,Bachelors,Asian Or Asian American,53000
62a348650f8c8599d5af2b77,Data Analyst,Yes,Marketing,R,Neither easy nor difficult,Better Salary,Male,24,Canada,Bachelors,Asian Or Asian American,53000
62a3489318134ddc75cea659,Student/Looking/None,Yes,Tech,Python,Easy,Good Culture,Male,25,Other,Masters,Asian Or Asian American,53000
62a348bf2e54c9003e533634,Data Analyst,Yes,Finance,Python,Difficult,Better Salary,Female,55,United States,Masters,Other,53000
62a348c2f3072dd892623c10,Data Analyst,No,Other,R,Very Easy,Remote,Female,30,United States,Masters,White Or Caucasian,95500
62a348f2f8d5efcc22f7e2ba,Data Analyst,Yes,Consulting,Python,Difficult,Better Salary,Male,25,Canada,Bachelors,Asian Or Asian American,53000
62a349160a77c1a77f65d4db,Data Analyst,Yes,Other,Python,Neither easy nor difficult,Better Salary,Male,28,United States,Masters,White Or Caucasian,75500
62a3493fb4da29969c62fe63,Data Analyst,Yes,Consulting,Python,Very Easy,Better Salary,Male,34,United Kingdom,Bachelors,White Or Caucasian,53000
62a3496e575fa3a5ae88c4e6,Data Analyst,Yes,Tech,Python,Neither easy nor difficult,Better Salary,Female,28,Other,Bachelors,Hispanic Or Latino,20000
62a3498e575fa3a5ae88c554,Student/Looking/None,No,Manufacturing,Other,Neither easy nor difficult,Better Salary,Male,24,Other,Bachelors,Asian Or Asian American,20000
62a34991b4da29969c62ff4b,Student/Looking/None,Yes,Healthcare,Python,Difficult,Better Salary,Male,31,United States,Masters,Black Or African American,20000
62a349bbf8f756164585400d,Data Analyst,Yes,Logistics,SQL,Easy,Better Salary,Male,25,Canada,Bachelors,Asian Or Asian American,53000
62a349c7cec54911e9ca67c7,Data Analyst,Yes,Finance,Python,Easy,Better Salary,Female,38,United States,Bachelors,White Or Caucasian,115500
62a349d5d8c00e9f5419ead2,Data Analyst,No,Finance,Python,Neither easy nor difficult,Good Culture,Male,30,Other,Bachelors,Hispanic Or Latino,53000
62a349e6b4da29969c63000c,Data Analyst,Yes,Tech,C/C++,Neither easy nor difficult,Good Work/Life Balance,Male,25,India,Bachelors,Asian Or Asian American,20000
62a34a03cec54911e9ca6869,Data Analyst,Yes,Tech,Python,Neither easy nor difficult,Better Salary,Female,29,Nigeria,Bachelors,Black Or African American,20000
62a34ab15d257a28a30d9589,Data Scientist,Yes,Finance,Python,Difficult,Good Work/Life Balance,Male,21,Other,Masters,White Or Caucasian,187500
62a34abc0f8c8599d5af31c5,Data Analyst,Yes,Logistics,SQL,Very Easy,Remote,Female,39,United States,Bachelors,Asian Or Asian American,75500
62a34b07cec54911e9ca6b6e,Student/Looking/None,No,Other,Python,Neither easy nor difficult,Better Salary,Male,25,Other,Bachelors,White Or Caucasian,20000
62a34b0eb4da29969c6302ce,Data Analyst,Yes,Finance,None,Neither easy nor difficult,Other,Female,42,United States,Masters,Hispanic Or Latino,95500
62a34b1b0f8c8599d5af328b,Data Analyst,No,Tech,R,Easy,Better Salary,Male,25,United States,Bachelors,White Or Caucasian,53000
62a34b5b5d257a28a30d96a6,Data Scientist,No,Finance,Python,Neither easy nor difficult,Better Salary,Male,22,United States,Bachelors,White Or Caucasian,95500
62a34b7ebae91e4b8b83076c,Data Analyst,No,Other,Python,Easy,Better Salary,Male,23,Other,High School,Hispanic Or Latino,20000
62a34b99cec54911e9ca6e14,Data Engineer,Yes,Other,Javascript,Difficult,Good Culture,Male,25,Other,High School,Other,53000
62a34bb0f3072dd892624210,Data Engineer,Yes,Consulting,Python,Neither easy nor difficult,Better Salary,Male,45,Canada,Masters,White Or Caucasian,75500
62a34bd0cf2555431730208b,Data Analyst,Yes,Healthcare,SQL,Easy,Good Work/Life Balance,Male,24,United States,Bachelors,White Or Caucasian,75500
62a34bd4f408bae018ed57bd,Student/Looking/None,No,Government,R,Difficult,Better Salary,Male,25,United States,NA,Black Or African American,20000
62a34c66b4da29969c6305af,Data Analyst,Yes,Marketing,Python,Difficult,Good Work/Life Balance,Male,26,United States,Bachelors,White Or Caucasian,75500
62a34d1ff8f756164585465c,Data Analyst,No,Tech,R,Easy,Better Salary,Male,23,Canada,Bachelors,Asian Or Asian American,53000
62a34d4118134ddc75ceb0ed,Student/Looking/None,Yes,Other,Python,Difficult,Remote,Female,42,United Kingdom,Masters,White Or Caucasian,20000
62a34da0f408bae018ed5abd,Other,Yes,Education,None,Very Difficult,Good Work/Life Balance,Female,42,United States,Bachelors,Black Or African American,53000
62a34dbb5d257a28a30d9a61,Data Analyst,No,Tech,Python,Neither easy nor difficult,Better Salary,Male,25,India,Masters,Asian Or Asian American,20000
62a34e00f8f7561645854954,Data Analyst,Yes,Tech,R,Easy,Remote,Male,38,United States,Masters,White Or Caucasian,95500
62a34e082e54c9003e534118,Data Engineer,No,Tech,Python,Easy,Better Salary,Male,24,Other,Bachelors,Hispanic Or Latino,20000
62a34eb7bc6861bf3176e6d8,Data Analyst,Yes,Education,R,Neither easy nor difficult,Good Work/Life Balance,Male,28,United States,Bachelors,White Or Caucasian,75500
62a34f2af8f7561645854c1c,Data Analyst,No,Healthcare,Python,Difficult,Better Salary,Male,21,United States,Bachelors,Asian Or Asian American,53000
62a34f3bf408bae018ed5e42,Data Analyst,Yes,Healthcare,R,Very Easy,Good Culture,Male,39,United States,Masters,White Or Caucasian,115500
62a34fa418134ddc75ceb509,Data Analyst,Yes,Tech,Python,Difficult,Good Work/Life Balance,Male,23,Other,Bachelors,Asian Or Asian American,20000
62a34fbacec54911e9ca776f,Data Analyst,No,Government,R,Neither easy nor difficult,Good Work/Life Balance,Female,23,Other,Bachelors,White Or Caucasian,20000
62a34fc3f3072dd892624a45,Data Analyst,Yes,Logistics,R,Neither easy nor difficult,Good Work/Life Balance,Male,30,United States,Masters,White Or Caucasian,75500
